Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA Authorized Generic,21528,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,20160629,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,1991,PACIFIC PHARMA INC,2013/11/21-,60758-773,4EVE5946BQ,Ketorolac Tromethamine,Ketorolac,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8432a1c5-15e5-4e3d-8e2d-49646e6b7eda/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8432a1c5-15e5-4e3d-8e2d-49646e6b7eda,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8432a1c5-15e5-4e3d-8e2d-49646e6b7eda,8432a1c5-15e5-4e3d-8e2d-49646e6b7eda
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA Authorized Generic,21528,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,20150507,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,PHYSICIANS TOTAL CARE INC,2014/03/28-,54868-6416,4EVE5946BQ,Ketorolac Tromethamine,Ketorolac,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8c90a3ac-ab76-405d-adc2-2f9ea3e3f250/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8c90a3ac-ab76-405d-adc2-2f9ea3e3f250,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8c90a3ac-ab76-405d-adc2-2f9ea3e3f250,8c90a3ac-ab76-405d-adc2-2f9ea3e3f250
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA Authorized Generic,20353,Naproxen Sodium,NAPROXEN SODIUM,20190724,Nonsteroidal Anti-inflammatory Drug,1976,ALVOGEN INC,2015/03/11-,47781-153; 47781-154; 47781-155,9TN87S3A3C,NAPROXEN SODIUM,NAPROXEN,57Y76R9ATQ,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9225acaa-209f-958b-2c51-9a46995dec33/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9225acaa-209f-958b-2c51-9a46995dec33,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9225acaa-209f-958b-2c51-9a46995dec33,9225acaa-209f-958b-2c51-9a46995dec33
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA Authorized Generic,18841,oxaprozin,OXAPROZIN,20190729,Nonsteroidal Anti-inflammatory Drug,1992,GREENSTONE LLC,2013/03/27-,59762-6002,MHJ80W9LRB,OXAPROZIN,OXAPROZIN,MHJ80W9LRB,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8fb752f1-702a-4e32-8f9f-efe0256b0f50/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8fb752f1-702a-4e32-8f9f-efe0256b0f50,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8fb752f1-702a-4e32-8f9f-efe0256b0f50,8fb752f1-702a-4e32-8f9f-efe0256b0f50
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA Authorized Generic,7337,ENDODAN,OXYCODONE AND ASPIRIN,20110523,Nonsteroidal Anti-inflammatory Drug; Opioid Agonist; Platelet Aggregation Inhibitor,,STAT RX USA LLC,1994/05/20-,16590-947,C1ENJ2TE6C; R16CO5Y76E,ASPIRIN; OXYCODONE HYDROCHLORIDE,ASPIRIN; OXYCODONE,CD35PMG570; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/23a60947-6058-4bf7-a3ee-ae396e55d939/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=23a60947-6058-4bf7-a3ee-ae396e55d939,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=23a60947-6058-4bf7-a3ee-ae396e55d939,23a60947-6058-4bf7-a3ee-ae396e55d939
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA Authorized Generic,21926,Sumatriptan Succinate and Naproxen Sodium,SUMATRIPTAN SUCCINATE AND NAPROXEN SODIUM,20190805,Nonsteroidal Anti-inflammatory Drug; Serotonin-1b and Serotonin-1d Receptor Agonist,2008,CURRAX PHARMACEUTICALS LLC DBA CYPRESS HAWTHORN MACOVEN,2015/05/14-,44183-850,9TN87S3A3C; J8BDZ68989,Naproxen Sodium; Sumatriptan Succinate,Naproxen; Sumatriptan,57Y76R9ATQ; 8R78F6L9VO,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5762bbe6-bddf-495c-adf8-9096f98a3a9c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5762bbe6-bddf-495c-adf8-9096f98a3a9c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5762bbe6-bddf-495c-adf8-9096f98a3a9c,5762bbe6-bddf-495c-adf8-9096f98a3a9c
HUMAN OTC DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,20802,EXCEDRIN MIGRAINE,"ACETAMINOPHEN, ASPIRIN (NSAID) AND CAFFEINE",20191002,Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS US LLC,2010/02/15-,0067-2039,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,ACETAMINOPHEN; ASPIRIN; CAFFEINE,ACETAMINOPHEN; ASPIRIN; CAFFEINE,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7ed841fb-a61c-4868-b4e5-4f2311a5e79c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7ed841fb-a61c-4868-b4e5-4f2311a5e79c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7ed841fb-a61c-4868-b4e5-4f2311a5e79c,7ed841fb-a61c-4868-b4e5-4f2311a5e79c
HUMAN OTC DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,20802,EXCEDRIN MIGRAINE,"ACETAMINOPHEN, ASPIRIN (NSAID) AND CAFFEINE",20130911,Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,STATE OF FLORIDA DOH CENTRAL PHARMACY,2013/01/01-,53808-0835,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,ACETAMINOPHEN; ASPIRIN; CAFFEINE,ACETAMINOPHEN; ASPIRIN; CAFFEINE,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/540c34a3-a4dc-4dd7-8ef9-53092b7a86bb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=540c34a3-a4dc-4dd7-8ef9-53092b7a86bb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=540c34a3-a4dc-4dd7-8ef9-53092b7a86bb,540c34a3-a4dc-4dd7-8ef9-53092b7a86bb
HUMAN OTC DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,20802,Headache Relief Extra Strength,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",20181228,Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,ALLEGIANT HEALTH,2010/02/15-,69168-285,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,ACETAMINOPHEN; ASPIRIN; CAFFEINE,ACETAMINOPHEN; ASPIRIN; CAFFEINE,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6197eff5-0351-42ef-bb3f-cbc26e6d0d14/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6197eff5-0351-42ef-bb3f-cbc26e6d0d14,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6197eff5-0351-42ef-bb3f-cbc26e6d0d14,6197eff5-0351-42ef-bb3f-cbc26e6d0d14
HUMAN OTC DRUG LABEL,"TABLET, COATED",ORAL,NDA,20802,Excedrin Migraine Geltabs,"ACETAMINOPHEN, ASPRIN, CAFFEINE",20180219,Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS US LLC,2011/09/13-,0067-2035,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,ACETAMINOPHEN; ASPIRIN; CAFFEINE,ACETAMINOPHEN; ASPIRIN; CAFFEINE,362O9ITL9D; 3G6A5W338E; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/cc2f4a6f-2a27-4a60-b5ef-ae0bb0988ff8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cc2f4a6f-2a27-4a60-b5ef-ae0bb0988ff8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cc2f4a6f-2a27-4a60-b5ef-ae0bb0988ff8,cc2f4a6f-2a27-4a60-b5ef-ae0bb0988ff8
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,200671,DURLAZA,ACETYLSALICYLIC ACID,20150925,Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,2015,NEW HAVEN PHARMACEUTICALS INC,2015/09/25-,58487-001,R16CO5Y76E,Aspirin,Aspirin,R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4c2a1403-3862-1efd-0a91-444989222b37/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4c2a1403-3862-1efd-0a91-444989222b37,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4c2a1403-3862-1efd-0a91-444989222b37,4c2a1403-3862-1efd-0a91-444989222b37
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,20884,Aggrenox,ASPIRIN AND DIPYRIDAMOLE,20191219,Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,1999,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,1999/12/19-,0597-0001,64ALC7F90C; R16CO5Y76E,ASPIRIN; DIPYRIDAMOLE,ASPIRIN; DIPYRIDAMOLE,64ALC7F90C; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/938ab0b5-8377-404a-8f61-5c630bda5932/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=938ab0b5-8377-404a-8f61-5c630bda5932,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=938ab0b5-8377-404a-8f61-5c630bda5932,938ab0b5-8377-404a-8f61-5c630bda5932
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,20884,Aggrenox,ASPIRIN AND DIPYRIDAMOLE,20160806,Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,1999,CARILION MATERIALS MANAGEMENT,1999/12/19-,68151-3971,64ALC7F90C; R16CO5Y76E,ASPIRIN; DIPYRIDAMOLE,ASPIRIN; DIPYRIDAMOLE,64ALC7F90C; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f07c8535-f9fb-4697-9b63-1ab22210efc9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f07c8535-f9fb-4697-9b63-1ab22210efc9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f07c8535-f9fb-4697-9b63-1ab22210efc9,f07c8535-f9fb-4697-9b63-1ab22210efc9
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20884,Aggrenox,ASPIRIN AND DIPYRIDAMOLE,20120416,Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,1999,PHYSICIANS TOTAL CARE INC,2004/08/24-,54868-5143,64ALC7F90C; R16CO5Y76E,aspirin; dipyridamole,aspirin; dipyridamole,64ALC7F90C; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e729d829-4bd0-4074-85ea-e0f9f5d7cdb5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e729d829-4bd0-4074-85ea-e0f9f5d7cdb5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e729d829-4bd0-4074-85ea-e0f9f5d7cdb5,e729d829-4bd0-4074-85ea-e0f9f5d7cdb5
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20884,Aggrenox,ASPIRIN AND DIPYRIDAMOLE,20100901,Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,1999,REBEL DISTRIBUTORS CORP,1999/12/19-,21695-656,64ALC7F90C; R16CO5Y76E,aspirin; dipyridamole,aspirin; dipyridamole,64ALC7F90C; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6473563d-b4df-4434-a74e-f8fa3cb9994f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6473563d-b4df-4434-a74e-f8fa3cb9994f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6473563d-b4df-4434-a74e-f8fa3cb9994f,6473563d-b4df-4434-a74e-f8fa3cb9994f
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,205103,YOSPRALA,ASPIRIN AND OMEPRAZOLE,20180619,Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor; Proton Pump Inhibitor,2016,ARALEZ PHARMACEUTICALS US INC,2016/09/14-,70347-081; 70347-325,KG60484QX9; R16CO5Y76E,ASPIRIN; OMEPRAZOLE,ASPIRIN; OMEPRAZOLE,KG60484QX9; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/73f74f6d-e624-4551-8924-1c747ffb2140/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=73f74f6d-e624-4551-8924-1c747ffb2140,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=73f74f6d-e624-4551-8924-1c747ffb2140,73f74f6d-e624-4551-8924-1c747ffb2140
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA,206911,BromSite 0.075%,BROMFENAC,20190125,Nonsteroidal Anti-inflammatory Drug,1997,SUN PHARMACEUTICAL INDUSTRIES INC,2016/05/01-,49708-754,8ECV571Y37,BROMFENAC SODIUM,BROMFENAC,864P0921DW,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/144a5072-341b-4591-8705-773b63044bcc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=144a5072-341b-4591-8705-773b63044bcc,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=144a5072-341b-4591-8705-773b63044bcc,144a5072-341b-4591-8705-773b63044bcc
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA,21664,Bromday,BROMFENAC,20100914,Nonsteroidal Anti-inflammatory Drug,1997,UNIT DOSE SERVICES,2010/09/20-,50436-6301,8ECV571Y37,BROMFENAC SODIUM,BROMFENAC,864P0921DW,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/234a2447-90a7-4b8a-a344-7eef1e5daa6a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=234a2447-90a7-4b8a-a344-7eef1e5daa6a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=234a2447-90a7-4b8a-a344-7eef1e5daa6a,234a2447-90a7-4b8a-a344-7eef1e5daa6a
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA,21664,Bromday,BROMFENAC,20100914,Nonsteroidal Anti-inflammatory Drug,1997,PHYSICIANS TOTAL CARE INC,2011/09/30-,54868-6301,8ECV571Y37,BROMFENAC SODIUM,BROMFENAC,864P0921DW,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5e9aae21-ca78-44a0-95be-67f83e55549b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5e9aae21-ca78-44a0-95be-67f83e55549b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5e9aae21-ca78-44a0-95be-67f83e55549b,5e9aae21-ca78-44a0-95be-67f83e55549b
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA,203168,Prolensa,BROMFENAC SODIUM,20170501,Nonsteroidal Anti-inflammatory Drug,1997,BAUSCH AND LOMB INCORPORATED,2013/04/05-,24208-602,8ECV571Y37,BROMFENAC SODIUM,BROMFENAC,864P0921DW,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4e072537-f73c-4a96-a65f-e2805ce112d8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4e072537-f73c-4a96-a65f-e2805ce112d8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4e072537-f73c-4a96-a65f-e2805ce112d8,4e072537-f73c-4a96-a65f-e2805ce112d8
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,19429,Fiorinal with Codeine,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",20191015,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Opioid Agonist; Platelet Aggregation Inhibitor,1990,ALLERGAN INC,1990/10/26-,0023-6010,3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e6052c0f-5167-4a9e-8774-31d70b0a6bec/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e6052c0f-5167-4a9e-8774-31d70b0a6bec,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e6052c0f-5167-4a9e-8774-31d70b0a6bec,e6052c0f-5167-4a9e-8774-31d70b0a6bec
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELEBREX,20191014,Nonsteroidal Anti-inflammatory Drug,,DIRECT RX,2014/01/01-,61919-046,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a645dfcd-7343-4c79-af8b-1117e4a5b113/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a645dfcd-7343-4c79-af8b-1117e4a5b113,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a645dfcd-7343-4c79-af8b-1117e4a5b113,a645dfcd-7343-4c79-af8b-1117e4a5b113
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20200528,Nonsteroidal Anti-inflammatory Drug,1998,PD RX PHARMACEUTICALS INC,1998/10/02-,55289-475,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a6854053-029c-419f-8c79-8b59a2600fa1/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a6854053-029c-419f-8c79-8b59a2600fa1,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a6854053-029c-419f-8c79-8b59a2600fa1,a6854053-029c-419f-8c79-8b59a2600fa1
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20200527,Nonsteroidal Anti-inflammatory Drug,1998,PD RX PHARMACEUTICALS INC,1998/10/02-,55289-451,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/29712b18-c82e-4397-800f-e2920f406f29/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=29712b18-c82e-4397-800f-e2920f406f29,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=29712b18-c82e-4397-800f-e2920f406f29,29712b18-c82e-4397-800f-e2920f406f29
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20190531,Nonsteroidal Anti-inflammatory Drug,1998,G D SEARLE LLC DIVISION OF PFIZER INC,1998/10/02-,0025-1515; 0025-1520; 0025-1525; 0025-1530,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8d52185d-421f-4e34-8db7-f7676db2a226/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8d52185d-421f-4e34-8db7-f7676db2a226,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8d52185d-421f-4e34-8db7-f7676db2a226,8d52185d-421f-4e34-8db7-f7676db2a226
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20190101,Nonsteroidal Anti-inflammatory Drug,1998,PROFICIENT RX LP,1998/10/02-,63187-079,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9f9dd7b9-a072-46d0-a8b5-b3e138c85f1c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9f9dd7b9-a072-46d0-a8b5-b3e138c85f1c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9f9dd7b9-a072-46d0-a8b5-b3e138c85f1c,9f9dd7b9-a072-46d0-a8b5-b3e138c85f1c
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20170522,Nonsteroidal Anti-inflammatory Drug,1998,BRYANT RANCH PREPACK,1998/10/02-,63629-3021,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/22d6020b-a76e-5068-e98c-299310df2898/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=22d6020b-a76e-5068-e98c-299310df2898,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=22d6020b-a76e-5068-e98c-299310df2898,22d6020b-a76e-5068-e98c-299310df2898
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20170320,Nonsteroidal Anti-inflammatory Drug,1998,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,2011/11/22-,49999-383,JCX84Q7J1L,Celecoxib,Celecoxib,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2aea0f50-b823-42ba-ab13-b40168bd55a2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2aea0f50-b823-42ba-ab13-b40168bd55a2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2aea0f50-b823-42ba-ab13-b40168bd55a2,2aea0f50-b823-42ba-ab13-b40168bd55a2
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELECOXIB,CELECOXIB,20161017,Nonsteroidal Anti-inflammatory Drug,,DIRECT RX,2014/01/01-,61919-045,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4a9aaeb-bd5e-4a69-b26d-4ede84cb4166/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4a9aaeb-bd5e-4a69-b26d-4ede84cb4166,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d4a9aaeb-bd5e-4a69-b26d-4ede84cb4166,d4a9aaeb-bd5e-4a69-b26d-4ede84cb4166
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20150505,Nonsteroidal Anti-inflammatory Drug,1998,PHYSICIANS TOTAL CARE INC,1998/10/02-; completed:1998/10/02-2014/06/30,54868-4101; 54868-4107; 54868-5506,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/73eb9256-dcda-4eb1-8a6e-700522146f2e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=73eb9256-dcda-4eb1-8a6e-700522146f2e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=73eb9256-dcda-4eb1-8a6e-700522146f2e,73eb9256-dcda-4eb1-8a6e-700522146f2e
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20140820,Nonsteroidal Anti-inflammatory Drug,1998,PREFERRED PHARMACEUTICALS INC,2014/08/20-,68788-0768,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e082d783-793f-4c17-b124-04fe377fb272/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e082d783-793f-4c17-b124-04fe377fb272,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e082d783-793f-4c17-b124-04fe377fb272,e082d783-793f-4c17-b124-04fe377fb272
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,20998,CELEBREX,CELECOXIB,20140703,Nonsteroidal Anti-inflammatory Drug,1998,APHENA PHARMA SOLUTIONS TENNESSEE LLC,1998/10/02-,67544-204,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/05cf80f2-12a0-46b0-bcb7-1c982ed7bd3e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=05cf80f2-12a0-46b0-bcb7-1c982ed7bd3e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=05cf80f2-12a0-46b0-bcb7-1c982ed7bd3e,05cf80f2-12a0-46b0-bcb7-1c982ed7bd3e
